PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Independent/Builder Floor,4.0,4.0,3.0,6388.88888888889,Unfurnished,1-5,2.0,4.0,4680.0,2.99,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,3.0,6517.0940170940175,Furnished,1-5,3.0,4.0,4680.0,3.05,Palam Vihar,single
S,Independent/Builder Floor,3.0,3.0,2.0,8564.814814814816,Unfurnished,1-5,1.0,4.0,2160.0,1.85,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,2.0,8024.691358024691,Unfurnished,1-5,2.0,4.0,3240.0,2.6,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,3.0,8086.419753086419,Unfurnished,1-5,4.0,4.0,3240.0,2.62,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,3.0,7281.983178397521,Furnished,1-5,1.0,4.0,4518.0,3.29,Sector 23,single
S,Independent/Builder Floor,4.0,4.0,3.0,7993.827160493827,Semi-furnished,1-5,1.0,4.0,3240.0,2.59,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,2.0,8024.691358024691,Unfurnished,1-5,3.0,4.0,3240.0,2.6,Palam Vihar,single
S,Independent/Builder Floor,4.0,4.0,2.0,8055.555555555556,Unfurnished,1-5,1.0,4.0,3240.0,2.61,Palam Vihar,single
S,Independent/Builder Floor,3.0,3.0,2.0,9465.020576131688,Unfurnished,1-5,3.0,3.0,2430.0,2.3,Palam Vihar,single
S,Residential Apartment,3.0,4.0,4.0,12212.0,Semi-furnished,1-5,4.0,24.0,1760.0,1.38,Sector 106,single
S,Independent/Builder Floor,3.0,4.0,2.0,10702.0,Semi-furnished,0-1,3.0,4.0,1850.0,1.98,Sector 45,single
S,Residential Apartment,3.0,3.0,3.0,7500.0,Semi-furnished,5-10,4.0,7.0,1800.0,1.35,Sector 56,single
S,Independent/Builder Floor,4.0,5.0,3.0,10925.925925925923,Semi-furnished,0-1,1.0,4.0,2700.0,2.95,Sushant Lok Phase 1,single
S,Independent/Builder Floor,3.0,3.0,2.0,7393.32488381918,Semi-furnished,1-5,2.0,2.0,2367.0,1.75,Sector 45,single
S,Residential Apartment,2.0,2.0,2.0,11065.0,Unfurnished,5-10,5.0,18.0,1446.0,1.6,Sector 57,single
S,Independent House/Villa,4.0,4.0,3.0,17824.074074074073,Semi-furnished,1-5,2.0,2.0,2160.0,3.85,Sector 82,multi
S,Independent/Builder Floor,4.0,4.0,4.0,10370.37037037037,Semi-furnished,1-5,2.0,3.0,2700.0,2.8,DLF Phase 2,single
S,Residential Apartment,4.0,4.0,3.0,17851.0,Semi-furnished,Under Construction,22.0,47.0,4550.0,8.122205,Sector 65,single
S,Residential Apartment,3.0,3.0,4.0,8856.0,Furnished,1-5,1.0,22.0,1976.0,1.75,Sector 70A,single
S,Residential Apartment,3.0,3.0,4.0,8147.0,Semi-furnished,1-5,15.0,22.0,1976.0,1.61,Sector 70A,single
S,Residential Apartment,4.0,4.0,4.0,4920.6349206349205,Semi-furnished,5-10,2.0,3.0,3150.0,1.55,Sector 70A,single
S,Residential Apartment,3.0,3.0,4.0,8350.0,Semi-furnished,1-5,2.0,22.0,1976.0,1.65,Sector 70A,single
S,Independent/Builder Floor,3.0,3.0,2.0,8592.592592592593,Semi-furnished,0-1,2.0,4.0,2700.0,2.32,Sector 57,single
S,Residential Apartment,3.0,3.0,3.0,14952.0,Semi-furnished,Under Construction,10.0,19.0,2230.0,3.33,Sector 15 Part 2,single
S,Residential Apartment,3.0,4.0,4.0,14482.0,Semi-furnished,1-5,4.0,20.0,2150.0,1.89,Sector 79,single
S,Residential Apartment,4.0,4.0,4.0,18750.0,Semi-furnished,0-1,6.0,40.0,3850.0,6.0,Sector 72,single
S,Residential Apartment,3.0,3.0,3.0,9491.0,Semi-furnished,0-1,7.0,23.0,1877.0,1.4,Sector 37D,single
S,Residential Apartment,3.0,3.0,3.0,12642.0,Semi-furnished,Under Construction,8.0,22.0,1929.0,1.76,Sector-33 Sohna,single
S,Residential Apartment,3.0,3.0,4.0,12629.0,Semi-furnished,Under Construction,11.0,25.0,2217.0,2.8,Sector 113 Gurgaon,single
S,Residential Apartment,3.0,3.0,4.0,12263.0,Semi-furnished,Under Construction,9.0,25.0,2691.0,3.3,Sector 113 Gurgaon,single
S,Residential Apartment,4.0,3.0,4.0,7754.0,Semi-furnished,0-1,7.0,23.0,2191.0,1.68,Sector 37D,single
S,Residential Apartment,3.0,3.0,4.0,11020.0,Semi-furnished,5-10,5.0,9.0,2450.0,2.7,Sector 43,single
S,Independent/Builder Floor,3.0,3.0,2.0,15555.0,Semi-furnished,1-5,2.0,4.0,2250.0,3.5,DLF Phase 2,single
